synthetic_marker,sale_id,sale_date,dealer_id,salesperson_id,customer_id,vin_like,make,model,sale_price,margin
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0014,2025-08-28,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0014,SYNVIN00000000014,Example Automotive,Harbour,40500,6500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0015,2025-08-15,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0015,SYNVIN00000000015,Example Automotive,Harbour,35000,5750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0016,2025-08-05,SYN-DEALER-NORTH,SYN-REP-06,SYN-CUSTOMER-0016,SYNVIN00000000016,Sample Mobility,Banksia,80500,5750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0017,2025-08-09,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0017,SYNVIN00000000017,Fiction Motors,Comet,77000,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0018,2025-08-17,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0018,SYNVIN00000000018,Fiction Motors,Comet,42000,7000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0019,2025-09-20,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0019,SYNVIN00000000019,Imaginary Vehicles,Wattle,76000,2000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0020,2025-09-27,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0020,SYNVIN00000000020,Imaginary Vehicles,Wattle,52000,3500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0021,2025-09-12,SYN-DEALER-CENTRAL,SYN-REP-04,SYN-CUSTOMER-0021,SYNVIN00000000021,Example Automotive,Harbour,81000,7500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0022,2025-09-26,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0022,SYNVIN00000000022,Fiction Motors,Comet,76500,6750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0023,2025-09-13,SYN-DEALER-CENTRAL,SYN-REP-05,SYN-CUSTOMER-0023,SYNVIN00000000023,Fiction Motors,Comet,59000,1750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0024,2025-09-25,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0024,SYNVIN00000000024,Sample Mobility,Banksia,68500,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0025,2025-09-28,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0025,SYNVIN00000000025,Fiction Motors,Comet,28000,6750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0026,2025-09-07,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0026,SYNVIN00000000026,Imaginary Vehicles,Wattle,49000,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0027,2025-09-21,SYN-DEALER-NORTH,SYN-REP-03,SYN-CUSTOMER-0027,SYNVIN00000000027,Example Automotive,Harbour,79000,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0028,2025-10-30,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0028,SYNVIN00000000028,Fiction Motors,Comet,40500,1750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0029,2025-10-16,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0029,SYNVIN00000000029,Fiction Motors,Comet,44500,2000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0030,2025-10-27,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0030,SYNVIN00000000030,Fiction Motors,Comet,85500,7250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0031,2025-10-22,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0031,SYNVIN00000000031,Sample Mobility,Banksia,29000,4250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0032,2025-10-23,SYN-DEALER-COAST,SYN-REP-06,SYN-CUSTOMER-0032,SYNVIN00000000032,Sample Mobility,Banksia,85500,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0033,2025-10-26,SYN-DEALER-CENTRAL,SYN-REP-08,SYN-CUSTOMER-0033,SYNVIN00000000033,Imaginary Vehicles,Wattle,58500,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0034,2025-10-02,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0034,SYNVIN00000000034,Example Automotive,Harbour,67000,4250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0035,2025-10-10,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0035,SYNVIN00000000035,Example Automotive,Harbour,59500,8750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0036,2025-10-16,SYN-DEALER-NORTH,SYN-REP-08,SYN-CUSTOMER-0036,SYNVIN00000000036,Sample Mobility,Banksia,75500,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0037,2025-10-08,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0037,SYNVIN00000000037,Fiction Motors,Comet,82500,3500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0038,2025-10-24,SYN-DEALER-CENTRAL,SYN-REP-04,SYN-CUSTOMER-0038,SYNVIN00000000038,Fiction Motors,Comet,72000,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0039,2025-10-18,SYN-DEALER-COAST,SYN-REP-08,SYN-CUSTOMER-0039,SYNVIN00000000039,Imaginary Vehicles,Wattle,63000,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0040,2025-11-03,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0040,SYNVIN00000000040,Sample Mobility,Banksia,47500,2000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0041,2025-11-07,SYN-DEALER-CENTRAL,SYN-REP-04,SYN-CUSTOMER-0041,SYNVIN00000000041,Imaginary Vehicles,Wattle,54500,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0042,2025-11-03,SYN-DEALER-CENTRAL,SYN-REP-06,SYN-CUSTOMER-0042,SYNVIN00000000042,Sample Mobility,Banksia,76000,8250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0043,2025-11-27,SYN-DEALER-NORTH,SYN-REP-06,SYN-CUSTOMER-0043,SYNVIN00000000043,Sample Mobility,Banksia,57500,2750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0044,2025-11-08,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0044,SYNVIN00000000044,Fiction Motors,Comet,56500,2500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0045,2025-11-16,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0045,SYNVIN00000000045,Imaginary Vehicles,Wattle,30500,7000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0046,2025-11-17,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0046,SYNVIN00000000046,Imaginary Vehicles,Wattle,39000,8250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0047,2025-11-19,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0047,SYNVIN00000000047,Sample Mobility,Banksia,62000,2000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0048,2025-11-09,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0048,SYNVIN00000000048,Example Automotive,Harbour,34500,6500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0049,2025-11-06,SYN-DEALER-COAST,SYN-REP-08,SYN-CUSTOMER-0049,SYNVIN00000000049,Imaginary Vehicles,Wattle,36000,7250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0050,2025-11-01,SYN-DEALER-NORTH,SYN-REP-08,SYN-CUSTOMER-0050,SYNVIN00000000050,Fiction Motors,Comet,49000,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0051,2025-11-04,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0051,SYNVIN00000000051,Sample Mobility,Banksia,32000,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0052,2025-12-05,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0052,SYNVIN00000000052,Sample Mobility,Banksia,39000,5750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0053,2025-12-25,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0053,SYNVIN00000000053,Fiction Motors,Comet,77500,8500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0054,2025-12-02,SYN-DEALER-NORTH,SYN-REP-02,SYN-CUSTOMER-0054,SYNVIN00000000054,Sample Mobility,Banksia,72000,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0055,2025-12-01,SYN-DEALER-NORTH,SYN-REP-03,SYN-CUSTOMER-0055,SYNVIN00000000055,Sample Mobility,Banksia,71000,2500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0056,2025-12-25,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0056,SYNVIN00000000056,Example Automotive,Harbour,62000,3000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0057,2025-12-12,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0057,SYNVIN00000000057,Sample Mobility,Banksia,71500,8500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0058,2025-12-15,SYN-DEALER-COAST,SYN-REP-03,SYN-CUSTOMER-0058,SYNVIN00000000058,Fiction Motors,Comet,36000,2750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0059,2025-12-17,SYN-DEALER-CENTRAL,SYN-REP-06,SYN-CUSTOMER-0059,SYNVIN00000000059,Imaginary Vehicles,Wattle,63500,8750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0060,2025-12-24,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0060,SYNVIN00000000060,Imaginary Vehicles,Wattle,40500,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0061,2025-12-30,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0061,SYNVIN00000000061,Sample Mobility,Banksia,72000,7250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0062,2025-12-28,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0062,SYNVIN00000000062,Imaginary Vehicles,Wattle,78500,4250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0063,2025-12-21,SYN-DEALER-CENTRAL,SYN-REP-06,SYN-CUSTOMER-0063,SYNVIN00000000063,Imaginary Vehicles,Wattle,66000,5250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0064,2025-12-20,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0064,SYNVIN00000000064,Fiction Motors,Comet,50000,2500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0065,2025-12-27,SYN-DEALER-COAST,SYN-REP-03,SYN-CUSTOMER-0065,SYNVIN00000000065,Imaginary Vehicles,Wattle,40000,7750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0066,2025-12-31,SYN-DEALER-COAST,SYN-REP-03,SYN-CUSTOMER-0066,SYNVIN00000000066,Imaginary Vehicles,Wattle,67000,4000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0067,2026-01-12,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0067,SYNVIN00000000067,Sample Mobility,Banksia,71000,7750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0068,2026-01-27,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0068,SYNVIN00000000068,Fiction Motors,Comet,80500,4750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0069,2026-01-16,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0069,SYNVIN00000000069,Imaginary Vehicles,Wattle,34000,4750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0070,2026-01-09,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0070,SYNVIN00000000070,Imaginary Vehicles,Wattle,74000,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0071,2026-01-05,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0071,SYNVIN00000000071,Fiction Motors,Comet,54500,1750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0072,2026-01-10,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0072,SYNVIN00000000072,Sample Mobility,Banksia,85500,3750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0073,2026-01-20,SYN-DEALER-CENTRAL,SYN-REP-01,SYN-CUSTOMER-0073,SYNVIN00000000073,Sample Mobility,Banksia,37000,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0074,2026-01-27,SYN-DEALER-CENTRAL,SYN-REP-05,SYN-CUSTOMER-0074,SYNVIN00000000074,Example Automotive,Harbour,29500,3500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0075,2026-01-06,SYN-DEALER-NORTH,SYN-REP-06,SYN-CUSTOMER-0075,SYNVIN00000000075,Sample Mobility,Banksia,75000,4250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0076,2026-01-04,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0076,SYNVIN00000000076,Example Automotive,Harbour,74500,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0077,2026-01-27,SYN-DEALER-CENTRAL,SYN-REP-01,SYN-CUSTOMER-0077,SYNVIN00000000077,Example Automotive,Harbour,69500,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0078,2026-02-11,SYN-DEALER-CENTRAL,SYN-REP-01,SYN-CUSTOMER-0078,SYNVIN00000000078,Imaginary Vehicles,Wattle,62000,4750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0079,2026-02-28,SYN-DEALER-CENTRAL,SYN-REP-05,SYN-CUSTOMER-0079,SYNVIN00000000079,Sample Mobility,Banksia,41500,7750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0080,2026-02-15,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0080,SYNVIN00000000080,Fiction Motors,Comet,37500,7000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0081,2026-02-13,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0081,SYNVIN00000000081,Example Automotive,Harbour,58500,3000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0082,2026-02-19,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0082,SYNVIN00000000082,Fiction Motors,Comet,71500,4500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0083,2026-02-16,SYN-DEALER-CENTRAL,SYN-REP-05,SYN-CUSTOMER-0083,SYNVIN00000000083,Sample Mobility,Banksia,85500,1500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0084,2026-02-21,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0084,SYNVIN00000000084,Sample Mobility,Banksia,38000,4000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0085,2026-02-07,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0085,SYNVIN00000000085,Sample Mobility,Banksia,65500,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0086,2026-02-13,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0086,SYNVIN00000000086,Fiction Motors,Comet,32000,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0087,2026-02-23,SYN-DEALER-CENTRAL,SYN-REP-08,SYN-CUSTOMER-0087,SYNVIN00000000087,Fiction Motors,Comet,29000,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0088,2026-03-30,SYN-DEALER-COAST,SYN-REP-06,SYN-CUSTOMER-0088,SYNVIN00000000088,Example Automotive,Harbour,51500,5750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0089,2026-03-03,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0089,SYNVIN00000000089,Imaginary Vehicles,Wattle,71000,8500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0090,2026-03-22,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0090,SYNVIN00000000090,Imaginary Vehicles,Wattle,71500,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0091,2026-03-05,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0091,SYNVIN00000000091,Imaginary Vehicles,Wattle,49500,2500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0092,2026-03-01,SYN-DEALER-CENTRAL,SYN-REP-01,SYN-CUSTOMER-0092,SYNVIN00000000092,Fiction Motors,Comet,37000,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0093,2026-03-16,SYN-DEALER-NORTH,SYN-REP-02,SYN-CUSTOMER-0093,SYNVIN00000000093,Fiction Motors,Comet,84500,9000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0094,2026-03-29,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0094,SYNVIN00000000094,Sample Mobility,Banksia,40000,4250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0095,2026-03-15,SYN-DEALER-CENTRAL,SYN-REP-08,SYN-CUSTOMER-0095,SYNVIN00000000095,Fiction Motors,Comet,46000,8000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0096,2026-03-30,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0096,SYNVIN00000000096,Fiction Motors,Comet,28000,2250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0097,2026-03-23,SYN-DEALER-NORTH,SYN-REP-08,SYN-CUSTOMER-0097,SYNVIN00000000097,Imaginary Vehicles,Wattle,66500,3250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0098,2026-03-20,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0098,SYNVIN00000000098,Imaginary Vehicles,Wattle,81000,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0099,2026-03-03,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0099,SYNVIN00000000099,Fiction Motors,Comet,33000,5500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0100,2026-03-08,SYN-DEALER-NORTH,SYN-REP-01,SYN-CUSTOMER-0100,SYNVIN00000000100,Example Automotive,Harbour,66000,6000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0101,2026-04-14,SYN-DEALER-CENTRAL,SYN-REP-04,SYN-CUSTOMER-0101,SYNVIN00000000101,Imaginary Vehicles,Wattle,46500,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0102,2026-04-19,SYN-DEALER-COAST,SYN-REP-03,SYN-CUSTOMER-0102,SYNVIN00000000102,Example Automotive,Harbour,59000,8250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0103,2026-04-06,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0103,SYNVIN00000000103,Fiction Motors,Comet,72000,6250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0104,2026-04-19,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0104,SYNVIN00000000104,Imaginary Vehicles,Wattle,46000,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0105,2026-04-22,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0105,SYNVIN00000000105,Sample Mobility,Banksia,34500,7500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0106,2026-04-13,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0106,SYNVIN00000000106,Example Automotive,Harbour,56000,7000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0107,2026-04-19,SYN-DEALER-NORTH,SYN-REP-03,SYN-CUSTOMER-0107,SYNVIN00000000107,Sample Mobility,Banksia,33500,8250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0108,2026-04-13,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0108,SYNVIN00000000108,Fiction Motors,Comet,43000,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0109,2026-04-01,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0109,SYNVIN00000000109,Example Automotive,Harbour,45500,7750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0110,2026-04-11,SYN-DEALER-COAST,SYN-REP-08,SYN-CUSTOMER-0110,SYNVIN00000000110,Sample Mobility,Banksia,54500,8750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0111,2026-04-20,SYN-DEALER-COAST,SYN-REP-06,SYN-CUSTOMER-0111,SYNVIN00000000111,Sample Mobility,Banksia,70500,2250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0112,2026-04-07,SYN-DEALER-COAST,SYN-REP-07,SYN-CUSTOMER-0112,SYNVIN00000000112,Sample Mobility,Banksia,75500,5750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0113,2026-04-22,SYN-DEALER-NORTH,SYN-REP-03,SYN-CUSTOMER-0113,SYNVIN00000000113,Fiction Motors,Comet,45000,5250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0114,2026-04-07,SYN-DEALER-CENTRAL,SYN-REP-01,SYN-CUSTOMER-0114,SYNVIN00000000114,Sample Mobility,Banksia,35500,7250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0115,2026-05-28,SYN-DEALER-CENTRAL,SYN-REP-05,SYN-CUSTOMER-0115,SYNVIN00000000115,Fiction Motors,Comet,70000,5250
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0116,2026-05-28,SYN-DEALER-COAST,SYN-REP-08,SYN-CUSTOMER-0116,SYNVIN00000000116,Example Automotive,Harbour,81500,8750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0117,2026-05-11,SYN-DEALER-COAST,SYN-REP-01,SYN-CUSTOMER-0117,SYNVIN00000000117,Sample Mobility,Banksia,36500,2750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0118,2026-05-10,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0118,SYNVIN00000000118,Fiction Motors,Comet,74000,2000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0119,2026-05-28,SYN-DEALER-NORTH,SYN-REP-04,SYN-CUSTOMER-0119,SYNVIN00000000119,Imaginary Vehicles,Wattle,51500,7000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0120,2026-05-05,SYN-DEALER-CENTRAL,SYN-REP-03,SYN-CUSTOMER-0120,SYNVIN00000000120,Imaginary Vehicles,Wattle,45000,5000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0121,2026-05-04,SYN-DEALER-CENTRAL,SYN-REP-02,SYN-CUSTOMER-0121,SYNVIN00000000121,Fiction Motors,Comet,41000,3750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0122,2026-05-20,SYN-DEALER-COAST,SYN-REP-04,SYN-CUSTOMER-0122,SYNVIN00000000122,Imaginary Vehicles,Wattle,80500,3000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0123,2026-05-30,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0123,SYNVIN00000000123,Imaginary Vehicles,Wattle,44000,3500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0124,2026-05-28,SYN-DEALER-NORTH,SYN-REP-03,SYN-CUSTOMER-0124,SYNVIN00000000124,Fiction Motors,Comet,54500,5500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0125,2026-05-25,SYN-DEALER-COAST,SYN-REP-02,SYN-CUSTOMER-0125,SYNVIN00000000125,Example Automotive,Harbour,62000,8750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0126,2026-05-20,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0126,SYNVIN00000000126,Sample Mobility,Banksia,30000,4000
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0127,2026-05-07,SYN-DEALER-COAST,SYN-REP-05,SYN-CUSTOMER-0127,SYNVIN00000000127,Example Automotive,Harbour,83000,6750
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0128,2026-05-19,SYN-DEALER-NORTH,SYN-REP-05,SYN-CUSTOMER-0128,SYNVIN00000000128,Imaginary Vehicles,Wattle,48000,7500
SYNTHETIC_FICTIONAL_DATA,SYN-SALE-0129,2026-05-25,SYN-DEALER-CENTRAL,SYN-REP-07,SYN-CUSTOMER-0129,SYNVIN00000000129,Fiction Motors,Comet,68000,2750
